"Story","Title","Result","Date","Stability","Duration (s)"
"Create pcq request test","Create pcq answers success","SUCCESS","2020-03-24T08:14:32.769701Z[Europe/London]","0.0","0.72"
"Update pcq request test","Invalid pregnancy","SUCCESS","2020-03-27T13:03:56.710821Z[Europe/London]","0.0","0.76"
"Update pcq request test","Update sex","SUCCESS","2020-03-27T13:03:57.512961Z[Europe/London]","0.0","0.19"
"Update pcq request test","Test injection other disability","SUCCESS","2020-03-27T13:03:57.706648Z[Europe/London]","0.0","0.12"
"Update pcq request test","Invalid dob","SUCCESS","2020-03-27T13:03:57.829045Z[Europe/London]","0.0","0.08"
"Update pcq request test","Test injection other religion","SUCCESS","2020-03-27T13:03:57.908467Z[Europe/London]","0.0","0.1"
"Update pcq request test","Dob provided state date","SUCCESS","2020-03-27T13:03:58.015369Z[Europe/London]","0.0","0.06"
"Update pcq request test","Test injection other ethnicity","SUCCESS","2020-03-27T13:03:58.076114Z[Europe/London]","0.0","0.09"
"Update pcq request test","Update gender","SUCCESS","2020-03-27T13:03:58.165881Z[Europe/London]","0.0","0.12"
"Update pcq request test","Update dob provided success","SUCCESS","2020-03-27T13:03:58.292944Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update other disability details","SUCCESS","2020-03-27T13:03:58.344759Z[Europe/London]","0.0","0.06"
"Update pcq request test","Update english language level","SUCCESS","2020-03-27T13:03:58.402978Z[Europe/London]","0.0","0.16"
"Update pcq request test","Update ethnicity other","SUCCESS","2020-03-27T13:03:58.569012Z[Europe/London]","0.0","0.06"
"Update pcq request test","Update married","SUCCESS","2020-03-27T13:03:58.62626Z[Europe/London]","0.0","0.12"
"Update pcq request test","Update other sexuality","SUCCESS","2020-03-27T13:03:58.752968Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update pregnancy","SUCCESS","2020-03-27T13:03:58.80162Z[Europe/London]","0.0","0.12"
"Update pcq request test","Test sql injection","SUCCESS","2020-03-27T13:03:58.928386Z[Europe/London]","0.0","0.04"
"Update pcq request test","Update main language","SUCCESS","2020-03-27T13:03:58.968194Z[Europe/London]","0.0","0.11"
"Update pcq request test","Test injection other sexuality","SUCCESS","2020-03-27T13:03:59.077591Z[Europe/London]","0.0","0.08"
"Update pcq request test","Update religion","SUCCESS","2020-03-27T13:03:59.155051Z[Europe/London]","0.0","0.22"
"Update pcq request test","Update ethnicity","SUCCESS","2020-03-27T13:03:59.374002Z[Europe/London]","0.0","0.39"
"Update pcq request test","Update dob success","SUCCESS","2020-03-27T13:03:59.763713Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update disability types","SUCCESS","2020-03-27T13:03:59.811002Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update religion other","SUCCESS","2020-03-27T13:03:59.864806Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update gender different","SUCCESS","2020-03-27T13:03:59.91822Z[Europe/London]","0.0","0.04"
"Update pcq request test","Update disability conditions","SUCCESS","2020-03-27T13:03:59.960406Z[Europe/London]","0.0","0.1"
"Update pcq request test","Test injection other language","SUCCESS","2020-03-27T13:04:00.064004Z[Europe/London]","0.0","0.07"
"Update pcq request test","Update disability impact","SUCCESS","2020-03-27T13:04:00.133462Z[Europe/London]","0.0","0.11"
"Update pcq request test","Update other language","SUCCESS","2020-03-27T13:04:00.248958Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update sexuality","SUCCESS","2020-03-27T13:04:00.302726Z[Europe/London]","0.0","0.15"
"Create pcq request test","Create pcq answers success without case","SUCCESS","2020-03-27T13:04:01.48679Z[Europe/London]","0.0","0.04"
"Create pcq request test","Create pcq answers success with case","SUCCESS","2020-03-27T13:04:01.53202Z[Europe/London]","0.0","0.04"
"Create pcq request test","Test controller internal error","SUCCESS","2020-03-27T13:04:01.570029Z[Europe/London]","0.0","0.07"
"Create pcq answers test","Create pcq answers with case id","SUCCESS","2020-03-27T13:05:10.838351Z[Europe/London]","0.0","4.04"
"Create pcq answers test","Create pcq answers without case id","SUCCESS","2020-03-27T13:05:14.928098Z[Europe/London]","0.0","0.11"
"Update pcq answers test","Update pcq answers","SUCCESS","2020-03-27T13:05:16.006343Z[Europe/London]","0.0","0.18"
"Endpoint security test","Should allow unauthenticated requests to health check and return 200 response code","SUCCESS","2020-03-27T13:05:16.217095Z[Europe/London]","0.0","0.15"
"Endpoint security test","Should allow unauthenticated requests to welcome message and return 200 response code","SUCCESS","2020-03-27T13:05:16.371755Z[Europe/London]","0.0","0.02"
"Pcq answers error response test","Invalid json request","SUCCESS","2020-03-27T13:05:16.430075Z[Europe/London]","0.0","0.18"
"Pcq answers error response test","Stale pcq answers","SUCCESS","2020-03-27T13:05:16.612324Z[Europe/London]","0.0","0.15"
"Pcq answers error response test","Invalid version","SUCCESS","2020-03-27T13:05:16.760914Z[Europe/London]","0.0","0.1"
"Pcq answers error response test","Un recoverable error test","SUCCESS","2020-03-27T13:05:16.858773Z[Europe/London]","0.0","0.11"
